SID,name,data_set,lat,lon,shelter_type
103,Spring Mountain,ATC,35.951714,-82.790282,Log/Lumber
104,Guyot,ATC,44.161078,-71.535578,Log/Lumber
105,Big Branch,ATC,43.36415,-72.94688,Other
106,Low Gap,ATC,34.776154,-83.824601,Log w/siding
107,Speck Pond Shelter,TNL,44.56469,-70.97362,Shelter
108,Walnut Mountain Shelter,TNL,35.8365,-82.93649,Shelter
109,Moreland Gap Shelter,TNL,36.22015,-82.08831,Shelter
110,Carter Gap Shelter (old),TNL,34.99998,-83.49476,Shelter
111,Churchill Scott Shelter,TNL,43.64489,-72.8534,Shelter
112,Fullhardt Knob Shelter,TNL,37.39852,-79.85367,Shelter
113,Bears Den Hostel,TNL,39.11093,-77.85409,Unknown
114,Vandeventer,ATC,36.36696,-82.058896,Cinder_Block
115,Campbell,ATC,37.390755,-80.029446,Lumber
116,Beaver Brook,ATC,44.03308,-71.811842,Log
117,Chairback Gap Lean-to,TNL,45.45311,-69.26174,Lean-to
118,Antietam Shelter,TNL,39.7938,-77.48257,Shelter
119,Double Springs,ATC,36.509043,-81.986324,Cinder_Block
120,Mizpah Spring Hut,TNL,44.2193,-71.36956,Hut
121,Bobblet's Gap,ATC,37.46705,-79.70144,Stick_w/ply_siding
122,Melville Nauheim Shelter,TNL,42.88782,-73.09507,Shelter
123,Sam Moore,ATC,39.09063,-77.88657,Unknown
124,Icewater Spring,ATC,35.629756,-83.38628,Stone/Log
125,Mount Algo Lean-to,ATC,41.731808,-73.496265,Log/Lumber
126,Harpers Creek Shelter,TNL,37.85619,-79.0005,Shelter
127,Horns Pond Lean-to (west),ATC,45.14393,-70.33022,Log/Lumber
128,Woods Hole,ATC,34.73712,-83.95505,Log/Lumber
129,Chatfield Shelter,TNL,36.85003,-81.36317,Shelter
130,Hurricane Mountain,ATC,36.715475,-81.509666,Log
131,Rocky Mountain,ATC,39.868502,-77.500911,Lumber
132,Punchbowl Shelter,TNL,37.67788,-79.33844,Shelter
133,Silers Bald,ATC,35.564263,-83.568248,Stone/Log
134,Thunder Hill Shelter,TNL,37.52746,-79.5039,Shelter
135,Mount Wilcox North Lean-to,ATC,42.2211,-73.250659,Log/Lumber
136,Tom Floyd Wayside,ATC,38.85042,-78.16395,Other
137,Bryant Ridge Shelter,TNL,37.53015,-79.58557,Shelter
138,Gifford Woods State Park,TNL,43.67607,-72.8112,Unknown
139,Kinsman Pond Campsite Shelter,TNL,44.13681,-71.7323,Shelter
140,Gren Anderson,ATC,41.199483,-74.75305,Log/Lumber
141,Tom's Run,ATC,40.033647,-77.357109,Lumber
142,Lula Tye Shelter,TNL,43.39543,-72.95466,Shelter
143,Hexacuba Shelter,TNL,43.87623,-72.02686,Shelter
144,Devils Racecourse Shelter,TNL,39.67197,-77.5241,Shelter
145,West Mountain Shelter,TNL,41.28236,-74.0092,Shelter
146,Congdon,ATC,42.848096,-73.110427,Log/Lumber
147,William Brien Memorial Shelter,TNL,41.27973,-74.05929,Shelter
148,Helveys Mill Shelter,TNL,37.13078,-81.10295,Shelter
149,Roaring Fork,ATC,35.80512,-82.94953,Log
150,Knot Maul Branch Shelter,TNL,37.0008,-81.40446,Shelter
151,Logan Brook Lean-to,TNL,45.5609,-69.23512,Lean-to
152,Gray Knob,TNL,44.33226,-71.31004,Unknown
153,The Priest Shelter,TNL,37.81765,-79.07033,Shelter
154,Old Job Shelter,TNL,43.35404,-72.92845,Shelter
155,Carlo Col,ATC,44.488704,-71.016735,Log
156,Stony Brook Shelter,TNL,43.69176,-72.73015,Shelter
157,Doc's Knob,ATC,37.270267,-80.836393,Log w/siding
158,Wise Shelter,TNL,36.654,-81.49836,Shelter
159,Tri-corner Knob,ATC,35.693726,-83.256785,Stone/Log
160,Deer Lick Shelters,TNL,39.76615,-77.4848,Shelter
161,Bromley Shelter,TNL,43.22238,-72.95048,Shelter
162,Sabbath Day Pond Lean-to,TNL,44.84094,-70.66212,Lean-to
163,James Fry at Tagg Run,ATC,40.062937,-77.206432,Stick
164,Brink Road Shelter,TNL,41.15323,-74.83777,Shelter
165,Rainbow Stream Lean-to,TNL,45.79906,-69.17041,Lean-to
166,October Mountain Lean-to,TNL,42.35493,-73.15404,Lean-to
167,Baldpate Lean-to,TNL,44.59842,-70.91167,Lean-to
168,Hogback Ridge Shelter,TNL,35.96408,-82.58713,Shelter
169,Flint Mountain,ATC,36.03477,-82.59678,Unknown
170,Abingdon Gap,ATC,36.580857,-81.901967,Cinder_Block
171,Allentown Shelter,TNL,40.68305,-75.87385,Shelter
172,Ethan Pond Campsite Shelter,TNL,44.17715,-71.42659,Shelter
173,Siler Bald Shelter,TNL,35.14422,-83.57247,Shelter
174,Little Rock Pond,ATC,43.398837,-72.955171,Timber_Frame
175,Minerva Hinchey,ATC,43.48788,-72.92502,Other
176,Glen Brook Lean-to,TNL,42.11102,-73.42725,Lean-to
177,Full Goose,ATC,44.525252,-70.9814,Log w/siding
178,The Place,TNL,36.63389,-81.78728,Unknown
179,Cove Mountain,ATC,37.511571,-79.650958,Lumber
180,The Perch Shelter,TNL,44.32446,-71.31048,Shelter
181,Trimpi Shelter,TNL,36.74939,-81.48041,Shelter
182,Moxie Bald Lean-to,TNL,45.27068,-69.74534,Lean-to
183,Pine Swamp Brook Lean-to,TNL,41.88167,-73.39161,Lean-to
184,Clarks Ferry Shelter,TNL,40.39238,-76.99412,Shelter
185,Pine Swamp,ATC,37.421984,-80.608683,Stone
186,Catawba,ATC,37.388205,-80.057094,Stick_w/Lumber_sidng
187,Johns Hollow Shelter,TNL,37.61292,-79.39178,Shelter
188,Birch Run,ATC,39.985099,-77.41976,Lumber
189,Potaywadjo Spring Lean-to,TNL,45.70653,-69.00738,Lean-to
190,Whitley Gap,ATC,34.712485,-83.834447,Log/Lumber
191,Wayah Shelter,TNL,35.18946,-83.56441,Shelter
192,Mount Collins,ATC,35.593923,-83.47107,Stone
193,Jenkins,ATC,37.09335,-81.247814,Log w/siding
194,Bald Mountain,ATC,36.00007,-82.47823,Stick_w/ply_siding
195,Alec Kennedy,ATC,40.111762,-77.104367,Lumber
196,Sassafras Gap Shelter,TNL,35.33087,-83.66688,Shelter
197,Quarry Gap Shelters,TNL,39.93198,-77.48638,Shelter
198,Watauga Lake,ATC,36.3139,-82.12955,Stick_w/ply_siding
199,Carl A. Newhall Lean-to,TNL,45.53106,-69.31513,Lean-to
200,Gentian Pond Campsite Shelter,TNL,44.4518,-71.06938,Shelter
201,High Point,ATC,41.315758,-74.657674,Stone
202,Limestone Spring Lean-to,TNL,41.97536,-73.39231,Lean-to
203,Bemis Mountain Lean-to,TNL,44.81018,-70.75588,Lean-to
204,Eckville,ATC,40.63374,-75.95826,Other
205,Stover Creek Shelter,TNL,34.64906,-84.20009,Shelter
206,Maupin Field Shelter,TNL,37.8849,-78.99363,Shelter
207,Eagles Nest Shelter,TNL,40.54933,-76.15239,Shelter
208,Laurel Fork Shelter,TNL,36.27876,-82.13623,Shelter
209,Governor Clement Shelter,TNL,43.56465,-72.84836,Shelter
210,Matts Creek,ATC,37.599466,-79.413478,Stick_w/Lumber_sidng
211,Madison Springs Hut,TNL,44.32779,-71.28318,Hut
212,Toms Run Shelters,TNL,40.03367,-77.35678,Shelter
213,Speck Pond Lean-to,ATC,44.564777,-70.97414,Stick_w/Lumber_sidng
214,Davis Path camp,TNL,36.91451,-81.37672,Unknown
215,Piazza Rock Lean-to,TNL,44.90418,-70.53004,Lean-to
216,Spence Field,ATC,35.561784,-83.732667,Stone/Log
217,Rod Hollow Shelter,TNL,39.04763,-77.94408,Shelter
218,Black Gap Shelter,TNL,34.61768,-84.19871,Shelter
219,Calf Mountain Shelter,TNL,38.08553,-78.78555,Shelter
220,Long Pond Lean-to,ATC,45.421148,-69.41023,Log/Lumber
221,Seeley-Woodworth Shelter,TNL,37.81897,-79.15488,Shelter
222,Kid Gore,ATC,43.014162,-73.043415,Log/Lumber
223,Rice Field,ATC,37.374833,-80.758556,Log/Lumber
224,Blue Mountain Shelter,TNL,34.81724,-83.76668,Shelter
225,Bailey Gap Shelter,TNL,37.40095,-80.57702,Shelter
226,Jerry Cabin,TNL,36.05655,-82.65713,Unknown
227,Lonesome Lake Hut,TNL,44.13842,-71.70312,Hut
228,The Hemlocks Lean-to,TNL,42.10968,-73.42865,Lean-to
229,Carter Gap Shelter (new),TNL,34.99902,-83.49408,Shelter
230,Trapper John,ATC,43.783122,-72.111921,Stick_w/Lumber_sidng
231,Tray Mountain,ATC,34.804,-83.676886,Log/Lumber
232,Fontana Dam,ATC,35.448384,-83.79402,Stick_w/T1_siding
233,Hightop Hut,TNL,38.33314,-78.55836,Hut
234,Little Laurel,ATC,36.015012,-82.736067,Stone/Log
235,Tucker Johnson removed,TNL,43.67943,-72.84295,Unknown
236,Pass Mountain Hut,TNL,38.6766,-78.3189,Hut
237,501 Shelter,TNL,40.51312,-76.3464,Shelter
238,Rock Gap Shelter,TNL,35.09159,-83.52303,Shelter
239,Derrick Knob Shelter,TNL,35.56635,-83.64179,Shelter
240,Wilbur Clearing Lean-to,TNL,42.66776,-73.17015,Lean-to
241,Wayah Bald,ATC,35.187702,-83.562139,Log/Lumber
242,Manassass Gap,ATC,38.930607,-78.032994,Log
243,Chatfield Memorial,ATC,36.849816,-81.363234,Log w/siding
244,Wintturi Shelter,TNL,43.66218,-72.62193,Shelter
245,Frye Notch Lean-to,TNL,44.62791,-70.89983,Lean-to
246,Crampton Gap Shelter,TNL,39.41259,-77.63702,Shelter
247,Davenport Gap Shelter,TNL,35.7693,-83.1234,Shelter
248,No Business Knob,ATC,36.066531,-82.433801,Other
249,Stratton Pond Shelter,TNL,43.1005,-72.96355,Shelter
250,Wesser Bald,ATC,35.282497,-83.582451,Log/Lumber
251,Spruce Peak,ATC,43.178601,-72.995685,Log
252,Overmountain Shelter,TNL,36.12349,-82.05429,Shelter
253,Thelma Marks Shelter,TNL,40.36358,-77.06726,Shelter
254,Little Rock Pond Shelter,TNL,43.40408,-72.95315,Shelter
255,David Lesser Shelter,TNL,39.22723,-77.77909,Shelter
256,Brown Mountain Creek Shelter,TNL,37.70944,-79.26831,Shelter
257,Ensign Cowall Shelter,TNL,39.63102,-77.55566,Shelter
258,Story Spring,ATC,43.050463,-73.012923,Stick_w/Lumber_sidng
259,Carter Notch Hut,TNL,44.25926,-71.19533,Hut
260,Goddard,ATC,42.974103,-73.072615,Timber_Frame
261,Gravel Springs Hut,TNL,38.76388,-78.23362,Hut
262,Russell Field,ATC,35.561677,-83.766596,Stone
263,William Penn Shelter,TNL,40.49559,-76.41409,Shelter
264,Spaulding Mountain Lean-to,TNL,44.99577,-70.34134,Lean-to
265,Mt. Collins Shelter,TNL,35.59384,-83.47129,Shelter
266,Fire Warden's Cabin,ATC,43.825409,-72.037869,Stick_w/Lumber_sidng
267,Mount Le Conte Shelter,TNL,35.6528,-83.4389,Shelter
268,Little Bigelow Lean-to,TNL,45.13917,-70.19115,Lean-to
269,Fingerboard Shelter,TNL,41.26327,-74.10399,Shelter
270,Cable Gap Shelter,TNL,35.41523,-83.77342,Shelter
271,Muskrat Creek,ATC,35.02061,-83.581558,Log
272,Wapiti,ATC,37.223814,-80.824306,Log
273,Plumorchard Gap,ATC,34.945823,-83.588443,Post_&_Beam
274,Peters Mountain Shelter,TNL,40.42593,-76.87932,Shelter
275,PA 501,ATC,40.513165,-76.346835,Other
276,Hog Back Ridge,ATC,35.963986,-82.587273,Log/Lumber
277,Mark Noepel Lean-to,TNL,42.60862,-73.18415,Lean-to
278,Wilson Valley Lean-to,TNL,45.39873,-69.45921,Lean-to
279,Kay Wood Lean-to,TNL,42.45211,-73.16148,Lean-to
280,Poplar Ridge Lean-to,TNL,44.97,-70.44534,Lean-to
281,Cloudland Shelter,TNL,43.69214,-72.49312,Shelter
282,Ed Garvey Shelter,TNL,39.35982,-77.66172,Shelter
283,Tumbling Run,ATC,39.80482,-77.478376,Lumber
284,Pierce Pond Lean-to,TNL,45.24025,-70.05548,Lean-to
285,Leeman Brook Lean-to,TNL,45.35151,-69.49877,Lean-to
286,Crag Camp,TNL,44.33491,-71.30202,Unknown
287,Darlington Shelter,TNL,40.302,-77.0869,Shelter
288,Riga Lean-to,TNL,42.01562,-73.45196,Lean-to
289,Pine Knob Shelter,TNL,39.5425,-77.60181,Shelter
290,Walasi-yi Center,ATC,34.73507,-83.91788,Other
291,Galehead Hut,TNL,44.18777,-71.56885,Hut
292,West Carry Pond Lean-to,TNL,45.15803,-70.09977,Lean-to
293,Long Pond Stream Lean-to,TNL,45.4211,-69.4096,Lean-to
294,Hall Mountain Lean-to,TNL,44.70079,-70.82473,Lean-to
295,Paul C. Wolfe Shelter,TNL,37.98543,-78.88367,Shelter
296,Upper Goose Pond Cabin,TNL,42.28802,-73.18142,Unknown
297,Big Spring Gap,ATC,35.058918,-83.478898,Stick_w/T1_siding
298,Laurel Creek,ATC,37.358896,-80.420894,Post_&_Beam
299,Blackburn Trail Center,TNL,39.18765,-77.79803,Unknown
300,Zealand Falls Hut,TNL,44.19583,-71.49431,Hut
301,Stratton Pond,ATC,43.100531,-72.964509,Post_&_Beam
302,Smarts Mountain Cabin,TNL,43.82535,-72.03737,Unknown
303,Lake of the Clouds Hut,TNL,44.2589,-71.31879,Hut
304,Wadleigh Stream Lean-to,TNL,45.74702,-69.14447,Lean-to
